                   frame  Start Frame
    0.003 ms  147470 cook       /renderClient/scenes/scene12/gauges/q2/gaugeVals/limit4 (CHOP:limit)
    0.002 ms  147470 cook        /renderClient/scenes/scene12/gauges/q2/gaugeVals/in1 (CHOP:in)
    0.004 ms  147470 cook         /renderClient/scenes/scene12/gauges/q2/rename1 (CHOP:rename)
    0.007 ms  147470 cook          /renderClient/scenes/scene12/gauges/q2/datto1 (CHOP:datto)
    0.025 ms  147470 cook           /renderClient/scenes/scene12/gauges/q2/select1 (DAT:select)
    0.015 ms       misc   Network Message Check /renderClient/serverCtrl/touchin5 (DAT:touchin)
    0.001 ms       misc   Network Message Check /renderClient/serverCtrl/touchin6 (DAT:touchin)
    0.002 ms       misc   Network Message Check /renderClient/serverCtrl/serverQuery (DAT:oscout)
    0.011 ms       misc   Network Message Check /renderClient/serverCtrl/GOcues_MultiCast (DAT:touchin)
    0.004 ms       misc   Network Message Check /renderClient/serverCtrl/base_analysis_send/perftdout1 (DAT:touchout)
    0.010 ms  188896 cook     /renderClient/serverCtrl/base_analysis_send/perftdout1 (DAT:touchout)
    0.004 ms  188896 cook      /renderClient/serverCtrl/base_analysis_send/null1 (DAT:null)
    0.099 ms  188896 cook       /renderClient/serverCtrl/base_analysis_send/eval1 (DAT:eval)
    0.002 ms  188896 cook        /renderClient/serverCtrl/base_analysis_send/null_stats (CHOP:null)
    0.007 ms  188896 cook         /renderClient/serverCtrl/base_analysis_send/merge1 (CHOP:merge)
    0.007 ms  188896 cook          /renderClient/serverCtrl/base_analysis_send/math2 (CHOP:math)
    0.010 ms  188896 cook           /renderClient/serverCtrl/base_analysis_send/select1 (CHOP:select)
    0.012 ms  188896 cook            /renderClient/serverCtrl/base_analysis_send/perform1 (CHOP:perform)
    0.006 ms  188896 cook          /renderClient/serverCtrl/base_analysis_send/math1 (CHOP:math)
    0.004 ms  188896 cook           /renderClient/serverCtrl/base_analysis_send/select2 (CHOP:select)
    0.004 ms  188896 cook          /renderClient/serverCtrl/base_analysis_send/select3 (CHOP:select)
    0.003 ms  188896 cook          /renderClient/serverCtrl/base_analysis_send/select4 (CHOP:select)
    0.015 ms       misc   Network Message Check /renderClient/serverCtrl/sceneTOX_multiCast (DAT:touchin)
    0.008 ms       misc   Network Message Check /renderClient/scenes/scene23/ui/touchinMulti (DAT:touchin)
    0.005 ms       misc   Network Message Check /renderClient/scenes/scene23/ui/touchinLocal (DAT:touchin)
    0.005 ms       misc   Network Message Check /renderClient/scenes/scene22/ui/touchinMulti (DAT:touchin)
